n,t,m,meth
3,0.000186920166015625,175955968,strawberry
4,0.0003669261932373047,175865856,strawberry
5,0.0002827644348144531,175906816,strawberry
6,0.0003299713134765625,175992832,strawberry
8,0.0008027553558349609,176078848,strawberry
9,0.0005929470062255859,175947776,strawberry
10,0.0005490779876708984,175906816,strawberry
12,0.0008440017700195312,175972352,strawberry
14,0.0012269020080566406,176074752,strawberry
16,0.0018689632415771484,176074752,strawberry
19,0.0015480518341064453,175972352,strawberry
22,0.002071857452392578,176017408,strawberry
26,0.002900362014770508,176164864,strawberry
30,0.004921674728393555,176218112,strawberry
35,0.005590915679931641,176312320,strawberry
41,0.011601924896240234,176451584,strawberry
48,0.012503862380981445,176762880,strawberry
56,0.018288850784301758,177164288,strawberry
66,0.02705693244934082,177348608,strawberry
77,0.09107518196105957,178159616,strawberry
90,0.11830997467041016,179003392,strawberry
105,0.15465283393859863,179638272,strawberry
123,0.20589017868041992,181047296,strawberry
143,0.289337158203125,182800384,strawberry
167,0.4078550338745117,185774080,strawberry
195,0.5890939235687256,188641280,strawberry
228,0.988610029220581,193536000,strawberry
266,1.4326081275939941,199675904,strawberry
311,2.276423931121826,208752640,strawberry
363,3.5293171405792236,220295168,strawberry
424,5.551724195480347,236605440,strawberry
495,8.457566022872925,259153920,strawberry
578,13.308071851730347,289247232,strawberry
675,20.466819047927856,330010624,strawberry
789,31.966960191726685,386039808,strawberry
921,49.5511360168457,464523264,strawberry
1075,80.87559723854065,564654080,strawberry
1256,127.21409487724304,705343488,strawberry
1467,199.0443079471588,900292608,strawberry
1713,315.3712480068207,1153191936,strawberry
2000,496.10995626449585,1514651648,strawberry
266,1500.2027487754822,80384000,projectq
311,2908.776323080063,81915904,projectq
363,5240.21583199501,83267584,projectq
1,0.0001399517059326172,56737792,aria
2,0.001703023910522461,56672256,aria
3,0.000247955322265625,57016320,aria
4,0.00032401084899902344,56934400,aria
5,0.0004069805145263672,57012224,aria
6,0.0006299018859863281,56967168,aria
8,0.0008950233459472656,57147392,aria
9,0.0009098052978515625,57028608,aria
10,0.001013040542602539,57212928,aria
12,0.0012862682342529297,57131008,aria
14,0.0016248226165771484,56983552,aria
16,0.0018732547760009766,56922112,aria
19,0.002624034881591797,57044992,aria
22,0.0032727718353271484,57163776,aria
26,0.005655050277709961,57528320,aria
30,0.005508899688720703,57634816,aria
35,0.0075109004974365234,57729024,aria
41,0.01226496696472168,57614336,aria
48,0.014395952224731445,58114048,aria
56,0.01656794548034668,58212352,aria
66,0.023650169372558594,58920960,aria
77,0.03291177749633789,59584512,aria
90,0.04445290565490723,60596224,aria
105,0.056684017181396484,62238720,aria
123,0.07712507247924805,63868928,aria
143,0.10237503051757812,65937408,aria
167,0.13943195343017578,69353472,aria
195,0.1898508071899414,73945088,aria
228,0.2697732448577881,80777216,aria
266,0.380216121673584,88834048,aria
311,0.6261129379272461,101187584,aria
363,0.6976382732391357,118030336,aria
424,0.9431631565093994,140939264,aria
495,1.336216926574707,172109824,aria
578,1.7614240646362305,214568960,aria
675,2.431180000305176,272941056,aria
789,3.3538239002227783,353112064,aria
921,4.689681768417358,464003072,aria
1075,6.446561098098755,616558592,aria
1256,8.748146295547485,819015680,aria
1467,11.75005292892456,1091354624,aria
1713,16.022543907165527,1471021056,aria
2000,22.495634078979492,1999163392,aria
1,6e-06,622592,cq_impr
1,7.9e-05,765952,cq
2,1.8e-05,622592,cq_impr
2,8.6e-05,802816,cq
3,7e-06,622592,cq_impr
3,9.9e-05,765952,cq
4,1.6e-05,671744,cq_impr
4,0.000106,778240,cq
5,1.8e-05,675840,cq_impr
5,0.000111,782336,cq
6,2.5e-05,684032,cq_impr
6,0.000127,827392,cq
8,2.1e-05,638976,cq_impr
8,0.000116,798720,cq
9,2.1e-05,643072,cq_impr
9,0.000133,802816,cq
10,2e-05,679936,cq_impr
10,0.000119,802816,cq
12,3.3e-05,692224,cq_impr
12,0.000151,876544,cq
14,2.6e-05,688128,cq_impr
14,0.000162,872448,cq
16,3.4e-05,692224,cq_impr
16,0.00016,847872,cq
19,2.6e-05,651264,cq_impr
19,0.000167,860160,cq
22,4.7e-05,696320,cq_impr
22,0.000184,921600,cq
26,4.1e-05,704512,cq_impr
26,0.000202,913408,cq
30,5.1e-05,716800,cq_impr
30,0.00022,974848,cq
35,4.9e-05,696320,cq_impr
35,0.000244,987136,cq
41,7.3e-05,753664,cq_impr
41,0.00031,1048576,cq
48,8.5e-05,745472,cq_impr
48,0.000268,1114112,cq
56,8.4e-05,782336,cq_impr
56,0.00032,1212416,cq
66,0.00013,876544,cq_impr
66,0.00045,1449984,cq
77,0.000131,905216,cq_impr
77,0.00059,1589248,cq
90,0.000173,999424,cq_impr
90,0.000753,1814528,cq
105,0.000288,1126400,cq_impr
105,0.001183,2154496,cq
123,0.000426,1302528,cq_impr
123,0.001538,2498560,cq
143,0.00048,1564672,cq_impr
143,0.002301,3715072,cq
167,0.000774,1941504,cq_impr
167,0.002916,4452352,cq
195,0.000891,2306048,cq_impr
195,0.003861,5611520,cq
228,0.001101,2842624,cq_impr
228,0.004753,6942720,cq
266,0.001928,3653632,cq_impr
266,0.007429,9584640,cq
311,0.002101,4718592,cq_impr
311,0.009029,12017664,cq
363,0.0029,6164480,cq_impr
363,0.011817,15540224,cq
424,0.003702,8085504,cq_impr
424,0.017525,21614592,cq
495,0.005834,10817536,cq_impr
495,0.021178,27402240,cq
578,0.007113,14368768,cq_impr
578,0.033372,38924288,cq
675,0.009302,19345408,cq_impr
675,0.04271,54603776,cq
789,0.0127,26132480,cq_impr
789,0.053807,68022272,cq
921,0.016647,32223232,cq_impr
921,0.08405,94527488,cq
1075,0.022042,39043072,cq_impr
1075,0.1105,126324736,cq
1256,0.032666,48222208,cq_impr
1256,0.1272,158240768,cq
1467,0.038984,60637184,cq_impr
1467,0.202586,205406208,cq
1713,0.051942,77488128,cq_impr
1713,0.295496,286920704,cq
2000,0.065135,100040704,cq_impr
2000,0.434339,372199424,cq
1,0.003963947296142578,289013760,qrisp
2,0.0020580291748046875,288210944,qrisp
3,0.0024471282958984375,289255424,qrisp
4,0.003135204315185547,288923648,qrisp
5,0.0038678646087646484,288641024,qrisp
6,0.004789113998413086,288784384,qrisp
8,0.006834983825683594,288468992,qrisp
9,0.009341955184936523,288571392,qrisp
10,0.009547948837280273,288190464,qrisp
12,0.013972043991088867,288907264,qrisp
14,0.01797628402709961,288149504,qrisp
16,0.02305316925048828,289251328,qrisp
19,0.0292360782623291,289312768,qrisp
22,0.036720991134643555,289583104,qrisp
26,0.05196189880371094,290242560,qrisp
30,0.06494402885437012,291323904,qrisp
35,0.08661508560180664,291479552,qrisp
41,0.11648082733154297,294912000,qrisp
48,0.15732288360595703,295358464,qrisp
56,0.21204614639282227,298512384,qrisp
66,0.4023101329803467,300908544,qrisp
77,0.5451622009277344,306241536,qrisp
90,0.7114858627319336,312520704,qrisp
105,1.0623421669006348,321257472,qrisp
123,1.4257268905639648,333418496,qrisp
143,2.0634970664978027,349151232,qrisp
167,2.9558520317077637,371818496,qrisp
195,4.234764099121094,402100224,qrisp
228,6.042955160140991,443932672,qrisp
